dataset,label_a,label_b,dtw_distance,mode
ASL,lettuce,limit,0.058781784027814865,nearest_candidates_then_dtw
ASL,lend,loan,0.05948162451386452,nearest_candidates_then_dtw
ASL,lesson,multiply,0.06044112145900726,nearest_candidates_then_dtw
ASL,limit,list,0.06093715503811836,nearest_candidates_then_dtw
ASL,melody,music,0.061204493045806885,nearest_candidates_then_dtw
ASL,mirror,miss,0.06139853969216347,nearest_candidates_then_dtw
ASL,more,none,0.06215118616819382,nearest_candidates_then_dtw
ASL,mother,napkin,0.06259401142597198,nearest_candidates_then_dtw
ASL,move,office,0.06294640898704529,nearest_candidates_then_dtw
ASL,limit,miss,0.0644439086318016,nearest_candidates_then_dtw
ASL,lobster,meat,0.0644846186041832,nearest_candidates_then_dtw
ASL,lousy,not,0.06571493297815323,nearest_candidates_then_dtw
ASL,lie,lonely,0.06572744250297546,nearest_candidates_then_dtw
ASL,leaf,like,0.065862275660038,nearest_candidates_then_dtw
ASL,lettuce,napkin,0.06634832173585892,nearest_candidates_then_dtw
ASL,lettuce,list,0.06708113104104996,nearest_candidates_then_dtw
ASL,lunch,mother,0.06756249815225601,nearest_candidates_then_dtw
ASL,member,necklace,0.06762073189020157,nearest_candidates_then_dtw
ASL,message,now,0.0677717924118042,nearest_candidates_then_dtw
ASL,lesson,offer,0.06928431987762451,nearest_candidates_then_dtw
ASL,like,mean,0.06931538134813309,nearest_candidates_then_dtw
ASL,lesson,limit,0.0693453922867775,nearest_candidates_then_dtw
ASL,list,offer,0.06963038444519043,nearest_candidates_then_dtw
ASL,marry,middle,0.06969950348138809,nearest_candidates_then_dtw
ASL,lettuce,miss,0.0698447972536087,nearest_candidates_then_dtw
ASL,machine,motor,0.07018811255693436,nearest_candidates_then_dtw
ASL,list,niece,0.0704895481467247,nearest_candidates_then_dtw
ASL,member,monthly,0.07085449248552322,nearest_candidates_then_dtw
ASL,limit,offer,0.07123739272356033,nearest_candidates_then_dtw
ASL,lousy,man,0.07185031473636627,nearest_candidates_then_dtw
ASL,lesson,lettuce,0.0719873458147049,nearest_candidates_then_dtw
ASL,lock,mechanic,0.07205858826637268,nearest_candidates_then_dtw
ASL,nation,nurse,0.07230355590581894,nearest_candidates_then_dtw
ASL,lightning,office,0.07250507175922394,nearest_candidates_then_dtw
ASL,more,october,0.07279150933027267,nearest_candidates_then_dtw
ASL,lesson,list,0.07281970977783203,nearest_candidates_then_dtw
ASL,major,office,0.07287200540304184,nearest_candidates_then_dtw
ASL,normal,nurse,0.07314033061265945,nearest_candidates_then_dtw
ASL,mean,monkey,0.07342536747455597,nearest_candidates_then_dtw
ASL,lousy,music,0.0734361782670021,nearest_candidates_then_dtw
ASL,leave,mexico,0.0735362246632576,nearest_candidates_then_dtw
ASL,marry,office,0.07366147637367249,nearest_candidates_then_dtw
ASL,multiply,offer,0.07405497878789902,nearest_candidates_then_dtw
ASL,match,motor,0.07422933727502823,nearest_candidates_then_dtw
ASL,legal,network,0.07431784272193909,nearest_candidates_then_dtw
ASL,manage,many,0.07436226308345795,nearest_candidates_then_dtw
ASL,more,november,0.0745115652680397,nearest_candidates_then_dtw
ASL,lettuce,offer,0.07477787137031555,nearest_candidates_then_dtw
ASL,moon,offer,0.07482416927814484,nearest_candidates_then_dtw
ASL,miss,napkin,0.07493787258863449,nearest_candidates_then_dtw
ASL,lose,office,0.07504791766405106,nearest_candidates_then_dtw
ASL,lend,never,0.07512008398771286,nearest_candidates_then_dtw
ASL,lightning,major,0.07522796094417572,nearest_candidates_then_dtw
ASL,microphone,moon,0.07530704140663147,nearest_candidates_then_dtw
ASL,measure,much,0.07544481754302979,nearest_candidates_then_dtw
ASL,man,not,0.07618624716997147,nearest_candidates_then_dtw
ASL,lightning,lose,0.07620779424905777,nearest_candidates_then_dtw
ASL,never,not,0.07623840123414993,nearest_candidates_then_dtw
ASL,morning,mountain,0.07640431821346283,nearest_candidates_then_dtw
ASL,necklace,offer,0.07656482607126236,nearest_candidates_then_dtw
ASL,lesson,moon,0.0766860619187355,nearest_candidates_then_dtw
ASL,minute,number,0.07674706727266312,nearest_candidates_then_dtw
ASL,microwave,minute,0.07676951587200165,nearest_candidates_then_dtw
ASL,movie,off,0.0767984613776207,nearest_candidates_then_dtw
ASL,mountain,north,0.07682126015424728,nearest_candidates_then_dtw
ASL,none,october,0.07702862471342087,nearest_candidates_then_dtw
ASL,lemon,maximum,0.077141672372818,nearest_candidates_then_dtw
ASL,man,music,0.07717198878526688,nearest_candidates_then_dtw
ASL,lettuce,lunch,0.07747547328472137,nearest_candidates_then_dtw
ASL,nephew,none,0.07773619145154953,nearest_candidates_then_dtw
ASL,lobster,lose,0.07786905765533447,nearest_candidates_then_dtw
ASL,miss,mother,0.0780252069234848,nearest_candidates_then_dtw
ASL,meat,never,0.07813481241464615,nearest_candidates_then_dtw
ASL,niece,obsess,0.07823026925325394,nearest_candidates_then_dtw
ASL,milk,money,0.07823492586612701,nearest_candidates_then_dtw
ASL,meeting,nine,0.07837989926338196,nearest_candidates_then_dtw
ASL,money,next,0.0784139633178711,nearest_candidates_then_dtw
ASL,miss,mistake,0.07844877243041992,nearest_candidates_then_dtw
ASL,niece,notice,0.07847955822944641,nearest_candidates_then_dtw
ASL,milk,most,0.0785255879163742,nearest_candidates_then_dtw
ASL,nervous,occur,0.07853618264198303,nearest_candidates_then_dtw
ASL,lead,middle,0.07854395359754562,nearest_candidates_then_dtw
ASL,muscle,next,0.07854819297790527,nearest_candidates_then_dtw
ASL,lettuce,mother,0.07859505712985992,nearest_candidates_then_dtw
ASL,learn,long,0.07908831536769867,nearest_candidates_then_dtw
ASL,mexico,mouse,0.07919443398714066,nearest_candidates_then_dtw
ASL,limit,mirror,0.0795302614569664,nearest_candidates_then_dtw
ASL,lightning,marry,0.0795404240489006,nearest_candidates_then_dtw
ASL,long,microphone,0.07968069612979889,nearest_candidates_then_dtw
ASL,meat,medicine,0.07970236986875534,nearest_candidates_then_dtw
ASL,motorcycle,move,0.0804014652967453,nearest_candidates_then_dtw
ASL,lose,marry,0.08041397482156754,nearest_candidates_then_dtw
ASL,minute,nut,0.0804506167769432,nearest_candidates_then_dtw
ASL,major,motorcycle,0.08048148453235626,nearest_candidates_then_dtw
ASL,mexico,new,0.08056037873029709,nearest_candidates_then_dtw
ASL,lightning,lousy,0.0805770605802536,nearest_candidates_then_dtw
ASL,manage,marry,0.0805811882019043,nearest_candidates_then_dtw
ASL,lend,lose,0.08064646273851395,nearest_candidates_then_dtw
ASL,motorcycle,office,0.08072568476200104,nearest_candidates_then_dtw
ASL,music,obsess,0.08107613772153854,nearest_candidates_then_dtw
ASL,less,music,0.0811041072010994,nearest_candidates_then_dtw
ASL,next,number,0.08131930977106094,nearest_candidates_then_dtw
ASL,lecture,lunch,0.08134115487337112,nearest_candidates_then_dtw
ASL,limit,lunch,0.0813659206032753,nearest_candidates_then_dtw
ASL,mainstream,major,0.08154202997684479,nearest_candidates_then_dtw
ASL,money,new york,0.08161177486181259,nearest_candidates_then_dtw
ASL,month,name,0.08170776069164276,nearest_candidates_then_dtw
ASL,new,north,0.08189895749092102,nearest_candidates_then_dtw
ASL,lie,multiply,0.08197976648807526,nearest_candidates_then_dtw
ASL,lend,motivate,0.08216593414545059,nearest_candidates_then_dtw
ASL,line,motor,0.08219757676124573,nearest_candidates_then_dtw
ASL,middle,office,0.08234889805316925,nearest_candidates_then_dtw
ASL,lose,mainstream,0.0825168713927269,nearest_candidates_then_dtw
ASL,lose,major,0.08252908289432526,nearest_candidates_then_dtw
ASL,november,october,0.08260016143321991,nearest_candidates_then_dtw
ASL,loud,office,0.0826234295964241,nearest_candidates_then_dtw
ASL,lunch,miss,0.08267472684383392,nearest_candidates_then_dtw
ASL,moon,necklace,0.08270420879125595,nearest_candidates_then_dtw
ASL,march,now,0.08271792531013489,nearest_candidates_then_dtw
ASL,limit,man,0.0827515572309494,nearest_candidates_then_dtw
ASL,manage,middle,0.08277716487646103,nearest_candidates_then_dtw
ASL,legal,lettuce,0.08278094977140427,nearest_candidates_then_dtw
ASL,minute,money,0.08286452293395996,nearest_candidates_then_dtw
ASL,lightning,ocean,0.08286579698324203,nearest_candidates_then_dtw
ASL,milk,minute,0.082920141518116,nearest_candidates_then_dtw
ASL,mean,nation,0.08296989649534225,nearest_candidates_then_dtw
ASL,loan,meat,0.08308481425046921,nearest_candidates_then_dtw
ASL,lightning,like,0.08309196680784225,nearest_candidates_then_dtw
ASL,legal,mountain,0.08309723436832428,nearest_candidates_then_dtw
ASL,many,no,0.08309773355722427,nearest_candidates_then_dtw
ASL,nation,next,0.08322945237159729,nearest_candidates_then_dtw
ASL,mom,mother,0.08327936381101608,nearest_candidates_then_dtw
ASL,magazine,obsess,0.08330492675304413,nearest_candidates_then_dtw
ASL,mouse,nephew,0.08334962278604507,nearest_candidates_then_dtw
ASL,manage,office,0.08339040726423264,nearest_candidates_then_dtw
ASL,leak,occur,0.08362731337547302,nearest_candidates_then_dtw
ASL,mountain,northwest,0.08368733525276184,nearest_candidates_then_dtw
ASL,nephew,new,0.0838027074933052,nearest_candidates_then_dtw
ASL,limit,napkin,0.08395124226808548,nearest_candidates_then_dtw
ASL,misunderstand,music,0.08406773209571838,nearest_candidates_then_dtw
ASL,lose,obsess,0.08428798615932465,nearest_candidates_then_dtw
ASL,man,moon,0.08438697457313538,nearest_candidates_then_dtw
ASL,lousy,never,0.08451798558235168,nearest_candidates_then_dtw
ASL,monday,october,0.08455023914575577,nearest_candidates_then_dtw
ASL,microwave,new york,0.0845857560634613,nearest_candidates_then_dtw
ASL,lettuce,moon,0.08478644490242004,nearest_candidates_then_dtw
ASL,music,niece,0.08479451388120651,nearest_candidates_then_dtw
ASL,miss,offer,0.08483074605464935,nearest_candidates_then_dtw
ASL,lightning,middle,0.08499220758676529,nearest_candidates_then_dtw
ASL,legal,off,0.08521173894405365,nearest_candidates_then_dtw
ASL,middle,nurse,0.08530318737030029,nearest_candidates_then_dtw
ASL,leave,mouse,0.08533329516649246,nearest_candidates_then_dtw
ASL,limit,niece,0.08534815162420273,nearest_candidates_then_dtw
ASL,new york,normal,0.08540236204862595,nearest_candidates_then_dtw
ASL,march,most,0.08554492145776749,nearest_candidates_then_dtw
ASL,mechanic,much,0.08559371531009674,nearest_candidates_then_dtw
ASL,limit,moon,0.08560969680547714,nearest_candidates_then_dtw
ASL,niece,offer,0.08561522513628006,nearest_candidates_then_dtw
ASL,like,melt,0.08564166724681854,nearest_candidates_then_dtw
ASL,loan,lose,0.08568484336137772,nearest_candidates_then_dtw
ASL,list,music,0.08581793308258057,nearest_candidates_then_dtw
ASL,money,nurse,0.08596181124448776,nearest_candidates_then_dtw
