dataset,class_name,sample_count
VSL,0 (số không),1
VSL,1,1
VSL,1 000 000 (một triệu),3
VSL,1 000 000 000 (một tỉ),3
VSL,10,1
VSL,10 000 (mười nghìn),3
VSL,100,1
VSL,1000 (một nghìn),1
VSL,11,3
VSL,12,3
VSL,2,1
VSL,2 < 5 (Toán học),1
VSL,2 < 6 (Toán học),1
VSL,23,3
VSL,3,1
VSL,33,2
VSL,4,1
VSL,40,1
VSL,5,1
VSL,5 > 3 (Toán học),1
VSL,5000 (năm nghìn),2
VSL,6,3
VSL,7,1
VSL,7up,1
VSL,8,1
VSL,80,1
VSL,9,1
VSL,90,1
VSL,Albania (nước Albania),1
VSL,An Giang,1
VSL,Anh (nước Anh),3
VSL,Ba chân bốn cẳng,1
VSL,Bra-xin (nước Bra-xin),3
VSL,Bru-nây (nước Bru-nây),3
VSL,Bun-ga-ri (nước Bun-ga-ri),1
VSL,Bà Nà,1
VSL,Bà Rịa - Vũng Tàu,1
VSL,Bãi biển Vũng Tàu,1
VSL,Bình Dương,1
VSL,Bình Phước,1
VSL,Bình Thuận,1
VSL,Bình Định,1
VSL,Băng-la-đét (nước Băng-la-đét),1
VSL,Bạc Liêu,1
VSL,Bắc Giang,1
VSL,Bắc Kạn,1
VSL,Bắc Ninh,1
VSL,Bắc bộ,1
VSL,Bến Tre,1
VSL,Cam-pu-chia (nước Cam-pu-chia),3
VSL,Cao Bằng,1
VSL,Chi-lê (nước Chi-lê),1
VSL,Châu Á Thái Bình Dương,1
VSL,Châu Đại Dương,1
VSL,Cocacola,1
VSL,Cu ba (nước Cu ba),1
VSL,Cà Mau,1
VSL,Cô vy (covid),1
VSL,Cô-lôm-bi-a (nước Cô-lôm-bi-a),1
VSL,Cố đô Huế,1
VSL,Cộng Hòa Séc (nước Cộng Hòa Séc),1
VSL,Dinh Độc Lập,1
VSL,Do Thái,1
VSL,Gia Lai,1
VSL,Hoàng tử,1
VSL,Hoãn,1
VSL,Hung-ga-ri (nước Hung-ga-ri),1
VSL,Hà Giang,1
VSL,Hà Lan (nước Hà Lan),1
VSL,Hùng Vương,1
VSL,Hưng Yên,1
VSL,Hạ Long,1
VSL,Hải Dương,1
VSL,Hậu Giang,1
VSL,Hồ Chí Minh,1
VSL,I-rắc (nước I-rắc),1
VSL,Italia (nước Italia),1
VSL,Khánh Hòa,1
VSL,Kim Đồng,1
VSL,Kiên Giang,1
VSL,Kon Tum,1
VSL,Liên Bang Nga (nước Nga),3
VSL,Long An,1
