asl_id,asl_label,vsl_label,vsl_video_count,vsl_sample_ids,vsl_sample_videos,match_type,confidence,note
0,book,sách,1,2938,W02900.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
1,drink,đồ uống,1,522,D0443.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
2,computer,phòng máy tính,1,2758,W02677.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
4,chair,bàn ghế,1,727,W00094.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
5,go,đi,1,1672,W01190.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
7,who,ai,3,656;657;658,W00004B.mp4;W00004N.mp4;W00004T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
8,candy,kẹo,3,2078;2079;2080,W01743B.mp4;W01743N.mp4;W01743T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
12,help,giúp đỡ,3,1889;1890;1891,W01497B.mp4;W01497N.mp4;W01497T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
13,no,không có,1,152,D0112.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
14,thin,gầy (miền Nam: ốm),3,1819;1820;4031,W01403N.mp4;W01403T.mp4;W01403B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
17,yes,có … không?,1,135,D0098.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
19,black,màu đen,1,2334,W02133B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
21,finish,hoàn thành,1,1995,W01641.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
25,mother,má (giống: mẹ),1,2323,W02110.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
27,orange,màu cam,1,2333,W02132.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
28,table,bàn ghế,1,727,W00094.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
32,bed,giường,1,4046,W01498.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
33,blue,màu xanh da trời,3,2342;2343;2344,W02142B.mp4;W02142N.mp4;W02142T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
36,dog,con chó,3,1303;1304;1305,W00739B.mp4;W00739N.mp4;W00739T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
38,fish,con cá,3,1299;1300;1301,W00737B.mp4;W00737N.mp4;W00737T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
40,hat,mũ,1,4126,W02275.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
41,hearing,nghe,1,2512,W02353.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
42,kiss,hôn,1,2042,W01700.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
43,language,ngôn ngữ,1,2557,W02401.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
49,white,màu trắng,3,2339;2340;2341,W02140B.mp4;W02140N.mp4;W02140T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
52,apple,quả táo,2,2830;2831,W02757B.mp4;W02757N.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
53,bird,con chim,1,1302,W00738.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
54,change,biến đổi,1,877,W00262N.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
56,corn,bắp ngô,3,822;823;3853,W00196N.mp4;W00196T.mp4;W00196B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
57,cow,con bò,3,1297;3942;3943,W00735T.mp4;W00735B.mp4;W00735N.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
58,dance,nhảy múa,1,2602,W02467.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
61,eat,ăn uống,1,693,W00042.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
62,enjoy,thích thú,3,3154;3155;3156,W03252B.mp4;W03252N.mp4;W03252T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
63,forget,quên,1,2862,W02798.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
66,meet,gặp gỡ,1,1813,W01395.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
68,pizza,bánh pizza,1,780,W00140.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
69,play,chơi,2,1210;1211,W00639B.mp4;W00639T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
70,school,nhà trường,3,2593;2594;4157,W02455N.mp4;W02455T.mp4;W02455B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
72,short,ngắn,1,2506,W02343.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
74,want,muốn,3,2406;2407;2408,W02221B.mp4;W02221N.mp4;W02221T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
75,work,làm việc,1,2200,W01928.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
78,birthday,ngày sinh,3,2501;2502;4135,W02338B.mp4;W02338N.mp4;W02338T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
79,brown,màu nâu,3,2336;2337;4111,W02137N.mp4;W02137T.mp4;W02137B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
80,but,nhưng,3,315;316;317,D0242B.mp4;D0242N.mp4;D0242T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
84,decide,quyết định,3,2876;2877;2878,W02814B.mp4;W02814N.mp4;W02814T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
86,how,bao nhiêu?,1,788,W00147.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
90,need,cần không?,3,163;3729;3730,D0122T.mp4;D0122B.mp4;D0122N.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
92,paper,giấy,3,1868;1869;4041,W01470B.mp4;W01470N.mp4;W01470T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
93,pull,kéo,1,4070,W01740.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
96,same,giống nhau,1,4045,W01490.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
100,visit,ghé thăm,1,1821,W01406.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
101,wait,trông chờ,3,3377;3378;3379,W03620B.mp4;W03620N.mp4;W03620T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
105,backpack,cặp sách,1,1033,W00428.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
107,brother,anh em,3,669;670;3820,W00013N.mp4;W00013T.mp4;W00013B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
108,cat,con mèo,3,1343;1344;1345,W00772B.mp4;W00772N.mp4;W00772T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
110,class,lớp,1,2284,W02052.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
111,cry,khóc,1,2126,W01821.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
114,green,màu xanh lá cây,3,2345;2346;2347,W02143B.mp4;W02143N.mp4;W02143T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
119,knife,dao,1,1508,W00973.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
120,laugh,tươi cười,1,3459,W03725.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
123,rabbit,con thỏ,1,1373,W00796.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
124,read,đọc sách,1,1707,W01239.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
125,red,màu đỏ,1,2335,W02134.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
126,room,phòng học tin học,1,2757,W02675.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
127,run,chạy,1,1103,W00501.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
129,sick,ốm đau,1,2681,W02567.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
132,tea,trà,1,3333,W03524.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
133,teacher,cô giáo,3,1390;1391;1392,W00812B.mp4;W00812N.mp4;W00812T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
134,week,tuần,3,3428;3429;3430,W03685B.mp4;W03685N.mp4;W03685T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
135,why,vì sao?,3,3524;3525;3526,W03825B.mp4;W03825N.mp4;W03825T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
142,bathroom,nhà vệ sinh,1,560,D0485.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
143,blanket,chăn (cái chăn),3,1109;1110;3910,W00509B.mp4;W00509T.mp4;W00509N.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
146,coffee,pha cà phê,1,2700,W02584.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
149,copy,chép bài,1,1144,W00555.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
150,cute,dễ thương,1,1554,W01027.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
155,friend,bạn,3,744;745;3834,W00110B.mp4;W00110N.mp4;W00110T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
157,happy,vui mừng,3,3570;3571;3572,W03889B.mp4;W03889N.mp4;W03889T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
169,remember,ghi nhớ,1,1826,W01413.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
174,test,kiểm tra,3,2166;2167;4088,W01878N.mp4;W01878T.mp4;W01878B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
175,tired,mệt mỏi,1,444,D0369.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
178,window,cửa sổ,1,1480,W00939.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
179,you,bạn,3,744;745;3834,W00110B.mp4;W00110N.mp4;W00110T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
184,banana,quả chuối,1,2797,W02730.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
187,boy,con trai,1,3690,W04068.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
191,chat,nói chuyện,1,2648,W02523.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
194,clock,đồng hồ,1,1727,W01265.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
195,close,đóng cửa,1,1710,W01243.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
199,day,ban ngày,1,724,W00089.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
200,discuss,bàn bạc,1,3831,W00091.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
204,fat,béo,1,846,W00225.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
208,game,trò chơi,1,3361,W03599.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
209,girl,con gái,1,1330,W00760.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
210,government,chính phủ,2,1191;3926,W00617T.mp4;W00617B.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
211,hear,nghe,1,2512,W02353.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
214,house,nhà cửa,1,4155,W02443.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
225,new,mới,3,2448;2449;2450,W02264B.mp4;W02264N.mp4;W02264T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
226,none,không có,1,152,D0112.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
235,practice,luyện tập,1,4104,W02074.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
239,russia,Liên Bang Nga (nước Nga),3,2242;2243;2244,W01996B.mp4;W01996N.mp4;W01996T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
240,salt,muối,1,533,D0456.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
241,sandwich,bánh sandwich,1,465,D0392.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
247,student,học sinh Miền Nam,1,2005,W01658.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
248,teach,dạy,1,1513,W00979.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
265,catch,bắt,1,3854,W00197.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
276,east,phương Đông,1,12,D0010.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
278,egg,trứng,3,3408;3409;4318,W03659B.mp4;W03659N.mp4;W03659T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
279,environment,môi trường,1,2417,W02236.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
280,father,cha,1,1078,W00481.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
282,flower,bông hoa,3,931;932;933,W00336B.mp4;W00336N.mp4;W00336T.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
283,friendly,thân thiện,1,3123,W03208.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
284,glasses,kính,1,2179,W01900.mp4,semantic_equivalent,High,manual semantic mapping; review if using for model alignment
